Destinatio,Origin,Population,id,iso_n3
USA,Bosnia and Herzegovina,"96","3225","070"
Belgium,Bosnia and Herzegovina,"58","280","070"
Croatia,Bosnia and Herzegovina,"37","768","070"
Canada,Botswana,"260","523","072"
UK,Botswana,"20","3103","072"
USA,Brazil,"649","3226","076"
Italy,Brazil,"125","1635","076"
Canada,Brazil,"68","524","076"
Germany,Brazil,"33","1219","076"
Switz.,Brazil,"14","2838","076"
France,Brazil,"13","1072","076"
UK,Brazil,"13","3104","076"
Sweden,Brazil,"8","2740","076"
USA,Bulgaria,"310","3227","100"
Canada,Bulgaria,"137","525","100"
Germany,Bulgaria,"82","1220","100"
France,Bulgaria,"70","1073","100"
Belgium,Bulgaria,"19","281","100"
Czechia,Bulgaria,"16","826","100"
Sweden,Bulgaria,"16","2741","100"
Norway,Bulgaria,"11","2223","100"
